,EP,STA,COMP,fq,fq_prob,width,S,S_r1,S_r2,S_r,N_T,R,R_r1,R_r2,R_r,N_R,cp,cl,H,H_r1,H_r2,H_r,N_H,V,V_r1,V_r2,V_r,N_V,N_L
28,EP1,NAN3,HHN,1.7070879473,0.5934665139,0.0101384714,-141.9027398975,-158.0208702011,-135.7809500226,22.2399201785,495,,,,,,,,,,,,,,,,,,
29,EP1,NAN3,HHN,1.7740592155,0.24938270240000002,0.008919248500000001,-151.2015730986,-161.4773017409,-137.2616311419,24.215670599,207,,,,,,,,,,,,,,,,,,
30,EP1,NAN3,HHN,1.8489094563,0.305174537,0.0082922972,-141.5810456974,-156.4006051654,-137.0840759277,19.3165292377,248,,,,,,,,,,,,,,,,,,
31,EP1,NAN3,HHN,1.9158807245,0.7652375303000001,0.0229766801,-148.3148398237,-159.2920190356,-135.5575774963,23.7344415393,1331,,,,,,,,,,,,,,,,,,
32,EP1,NAN3,HHN,1.9710335335,0.3647395553,0.008627154,-141.1153866265,-157.3970784281,-136.4022653155,20.9948131126,294,,,,,,,,,,,,,,,,,,
33,EP1,NAN3,HHN,2.1483104198,1.1160113739,0.0355403311,-146.1977835676,-156.8950986079,-134.6833125174,22.2117860905,2500,0.869739479,0.7374749499000001,0.9679358717000001,0.2304609218,18.0,0.007200000000000001,0.8055555556,107.1342685371,101.002004008,113.2665330661,12.2645290581,17.0,12.625250501,0.0,22.004008016,22.004008016,12.0,14.5
34,EP1,NAN3,HHN,2.2231606607,0.6645421526,0.013806234,-147.9114905225,-156.7375934119,-135.145163129,21.5924302829,784,,,,,,,,,,,,,,,,,,
35,EP1,NAN3,HHN,2.2940714152,0.7200108733,0.0191817645,-148.5727386933,-157.7726696068,-135.1392112533,22.6334583535,1089,,,,,,,,,,,,,,,,,,
36,EP1,NAN3,HHN,2.5895328923000003,0.5578289559,0.05,-140.4909339553,-156.4511273371,-136.2948267751,20.156300562,1791,,,,,,,,,,,,,,,,,,
37,EP1,NAN3,HHN,2.6446857013000002,0.5325604780000001,0.012739044900000001,-140.298319356,-156.0357604858,-136.0012166362,20.0345438496,645,,,,,,,,,,,,,,,,,,
38,EP1,NAN3,HHN,2.7037779967,0.3095844715,0.004372696000000001,-141.3468185761,-156.5534364933,-137.7392425537,18.8141939396,128,,,,,,,,,,,,,,,,,,
